"ID","huc2","huc4","huc4_name","State","County","Latitude","Longitude","Elevation","Anomalies","PeriodLength","PeriodID","AccumValue","Indicator","Year","Condition","WYT","meanValue","ratio","Ratio_Diff","Previous_PeriodLength","Whiplash","Flag"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,63.0665,5,48,1573.0625,63.0665,2021,"Surplus","AN",991.4035,0.0636133521820329,-0.269274820998716,4,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,307.2465,3,48,1179.9695,307.2465,2019,"Surplus","W",991.4035,0.309910646875869,-0.495771903165563,2,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-63.7935,1,49,-63.7935,-63.7935,2022,"Deficit","AN",991.4035,-0.0643466560285494,-0.127960008210582,5,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,330.0265,4,48,1509.996,330.0265,2020,"Surplus","W",991.4035,0.332888173180748,0.0229775263048799,3,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-238.5735,7,41,-1900.0245,-238.5735,2005,"Deficit","D",991.4035,-0.240642180504709,0.148819325330201,6,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-433.2435,2,39,-792.317,-433.2435,1988,"Deficit","C",991.4035,-0.437000171978412,-0.0748131310813408,1,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-217.3435,8,41,-2117.368,-217.3435,2006,"Deficit","BN",991.4035,-0.21922809431276,0.021414086191949,7,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-386.1135,6,41,-1661.451,-386.1135,2004,"Deficit","C",991.4035,-0.38946150583491,-0.286049020403902,5,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-125.9335,1,47,-125.9335,-125.9335,2015,"Deficit","BN",991.4035,-0.127025474491466,-0.266702709845184,1,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-102.5235,5,41,-1275.3375,-102.5235,2003,"Deficit","BN",991.4035,-0.103412485431008,0.222886039841497,4,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-167.7335,9,41,-2285.1015,-167.7335,2007,"Deficit","BN",991.4035,-0.169187923988568,0.0500401703241919,8,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-270.0935,8,39,-2375.858,-270.0935,1994,"Deficit","D",991.4035,-0.272435491704437,-0.173672979770598,7,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-200.8335,4,39,-1222.524,-200.8335,1990,"Deficit","BN",991.4035,-0.202574935432445,0.028787471498739,3,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,137.2365,1,50,137.2365,137.2365,2023,"Surplus","AN",991.4035,0.138426483263374,0.202773139291923,1,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-213.1635,1,37,-213.1635,-213.1635,1985,"Deficit","BN",991.4035,-0.215011849363049,-0.46649018285693,5,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,531.7765,3,36,1199.7695,531.7765,1982,"Surplus","W",991.4035,0.536387555621904,0.169043179694242,2,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,92.9965000000001,4,36,1292.766,92.9965000000001,1983,"Surplus","AN",991.4035,0.0938028764272066,-0.442584679194697,3,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,249.3165,5,36,1542.0825,249.3165,1984,"Surplus","W",991.4035,0.25147833349388,0.157675457066674,4,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-97.9135,7,39,-2105.7645,-97.9135,1993,"Deficit","BN",991.4035,-0.0987625119338393,0.418719522374089,6,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-229.3735,3,39,-1021.6905,-229.3735,1989,"Deficit","D",991.4035,-0.231362406931184,0.205637765047228,2,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-323.4935,4,41,-1172.814,-323.4935,2002,"Deficit","D",991.4035,-0.326298525272505,0.075317466601641,3,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-451.1135,2,41,-451.157,-451.1135,2000,"Deficit","C",991.4035,-0.455025123473944,-0.454981246283678,1,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,73.9664999999999,1,48,73.9664999999999,73.9664999999999,2017,"Surplus","AN",991.4035,0.0746078665245784,0.270596180061902,2,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,115.5465,1,42,115.5465,115.5465,2008,"Surplus","AN",991.4035,0.116548408392748,0.285736332381316,9,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-359.0735,1,39,-359.0735,-359.0735,1987,"Deficit","C",991.4035,-0.362187040897072,-0.422502038776341,1,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,138.4765,1,46,138.4765,138.4765,2014,"Surplus","AN",991.4035,0.139677235353718,0.433789067720661,1,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,239.9465,3,40,1349.1795,239.9465,1998,"Surplus","W",991.4035,0.242027085843453,-0.392151127164671,2,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-228.5635,1,51,-228.5635,-228.5635,2024,"Deficit","D",991.4035,-0.230545383388297,-0.368971866651671,1,NA,"Estimated"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-194.3035,2,47,-320.237,-194.3035,2016,"Deficit","BN",991.4035,-0.195988313537324,-0.0689628390458577,1,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-0.0434999999999945,1,41,-0.0434999999999945,-0.0434999999999945,1999,"Deficit","AN",991.4035,-4.38771902661172e-05,-0.242070963033719,3,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-8.79349999999999,1,43,-8.79349999999999,-8.79349999999999,2010,"Deficit","AN",991.4035,-0.00886974879552069,-0.32862502502765,2,NA,"Actual"
"ABBM8",17,1701,"Kootenai-Pend Oreille-Spokane","Montana","Missoula",46.88333333,-113.8330556,3240,-513.0335,6,39,-2007.851,-513.0335,1992,"Deficit","C",991.4035,-0.517482034307928,-0.24282746631417,5,NA,"Actual"
